RA,DEC,PLATE,MJD,FIBERID,Z,SPECCLASS,ZERR,ID,DESIGNATION,N_SPEC,CENTROID_BHA,CENTROID_BHA_ERR,LBHA,LBHA_ERR,FWHM_BHA,FWHM_BHA_ERR,EW_BHA,EW_BHA_ERR,CENTROID_NHA,CENTROID_NHA_ERR,LNHA,LNHA_ERR,FWHM_NHA,FWHM_NHA_ERR,EW_NHA,EW_NHA_ERR,LNII6583,LNII6583_ERR,EW_NII6583,EW_NII6583_ERR,LSII6716,LSII6716_ERR,EW_SII6716,EW_SII6716_ERR,LSII6731,LSII6731_ERR,EW_SII6731,EW_SII6731_ERR,LOI6300,LOI6300_ERR,EW_OI6300,EW_OI6300_ERR,CENTROID_BHB,CENTROID_BHB_ERR,LBHB,LBHB_ERR,FWHM_BHB,FWHM_BHB_ERR,EW_BHB,EW_BHB_ERR,CENTROID_NHB,LNHB,LNHB_ERR,EW_NHB,EW_NHB_ERR,CENTROID_OIII5007,CENTROID_OIII5007_ERR,LOIII5007,LOIII5007_ERR,FWHM_OIII5007,FWHM_OIII5007_ERR,EW_OIII5007,EW_OIII5007_ERR,LFEII4570,LFEII4570_ERR,EW_FEII4570,EW_FEII4570_ERR,L5100,L5100_ERR,MULTI_PEAK,MBH_BHB,MBH_BHA,MBH,LAMBDA_EDD
150.44875,-0.38537523,268,51633,21,0.0903031,2,0.000144141,3816,b'J100147.70-002307.4',1,6568.743469563608,2.542123756997171,41.048073682172515,0.018762041371081225,2275.935554878784,263.13909548944144,14.823298593964935,0.6403842483081239,6565.332519531149,0.12523945476891898,40.84158144355739,0.008909740933403566,327.9105704762003,11.164948703360551,9.214093571630874,0.18903115563345904,40.61102115474048,0.01099182920708787,5.418665339329624,0.137144373804538,40.22376101739814,0.02559577608951993,2.3189717782369867,0.13667197187910204,40.16349479701647,0.0334258588105381,2.0111785920521377,0.15479214080649942,39.79056278138542,0.05966287643613306,0.7643598384703348,0.1050068769670616,4865.742842199126,3.738015045913926,39.83418467551305,0.20248294168379566,2275.935554878784,559.1260199601254,0.5438628055352044,0.2535674452593042,4863.215820312339,40.208689699914125,0.026498390378211178,1.2882328903125269,0.07860127153813763,5009.271972656114,0.03717385838204155,40.975753594643486,0.006638714858645917,311.85878681597,4.841140837602325,7.921991378661967,0.12109719279747617,-999.0,-999.0,-999.0,-999.0,43.77108489450033,0.05819132544942769,0,7.5000889043378995,6.931944595925579,7.302967244954107,-1.7949670495987415
152.77141,-0.38680371,270,51909,146,0.153109,2,9.93501e-05,4021,b'J101105.14-002312.5',1,6564.468428788335,3.1534202152770376,41.47826976656606,0.04544379332928906,2417.453881363551,376.3108668551859,97.81675473828334,10.235369394326012,6565.4199218750155,0.3064153166716301,41.08334726599571,0.04325326197590663,426.6737988914446,22.18419962759799,39.39950355150739,3.923966671257089,41.1255188291587,0.04444177209216984,43.41725004865469,4.442929023344005,40.923475744109474,0.032684701416688,28.463119635520435,2.1421146672562794,40.76575579170881,0.03600400848645611,19.72349742934958,1.6351231900948369,40.506636242222605,0.054840604802335643,9.741898895480338,1.2301598501299513,4862.68017578125,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4863.280761718823,40.46077862727636,0.04672963089508965,5.640993479587247,0.6069649922515306,5007.471191406137,0.33423867737978363,40.73217912687468,0.035750966977622145,509.2584489016378,46.17279082775349,11.079806790856944,0.9120857590986811,-999.0,-999.0,-999.0,-999.0,43.38181260624679,0.01850616046226383,0,-999.0,7.184353553639133,7.184353553639133,-0.9116854115275137
156.09704,-0.80012005,272,51941,98,0.32154,2,0.000978792,4348,b'J102423.29-004800.4',1,6571.536638370839,2.833702540383456,42.318638708031614,0.025394116482948825,2071.305147209732,247.1822196907324,212.26682442601984,12.411690142070416,6564.368164062625,0.10113963028623214,41.99638054778127,0.014292732132021427,183.12016723704153,4.814121187522687,101.07039489138096,3.3262501848742416,41.55888522094563,0.022907923613471153,36.90869039436938,1.9468390854597495,41.29130225531526,0.03583647580084227,20.806976599243903,1.71691963589868,41.10700334030159,0.05209882058842836,13.562240377598034,1.6269530640250731,40.71810608606713,0.10046547300806813,4.968364312377037,1.1493332253807484,4867.811488694356,0.16368396684174513,41.65815973449057,0.03130382893679384,2071.305147209732,48.23790583106252,27.850734824014136,2.0074734704921253,4862.501953125083,41.34039129295385,0.01826168186303203,13.398871333714986,0.5634101726220074,5007.404296875045,0.10591061346622155,41.43264932155056,0.017006438403912652,335.84213850995684,14.744213850301094,17.422173966231885,0.6822309397877002,-999.0,-999.0,-999.0,-999.0,43.88571263173104,0.0075982965711046515,0,7.478892188008332,7.432498991607545,7.4563147711476345,-0.9364911048720239
155.69909,-0.40821798,272,51941,235,0.307364,2,0.00070148,4310,b'J102247.78-002429.6',1,6569.723656486002,1.2104270752333832,42.14903877260101,0.07090383023023605,1281.2730214120697,312.6972534083875,72.30880450654041,11.80528761869511,6565.4899659187195,0.043805860149047235,42.322292149772814,0.005156635964826587,256.9804615858608,5.464931309488638,107.75676839526211,1.2794600397447171,41.819945840137215,0.0079902597485114,33.8920820296052,0.6235551080645622,41.464547685365915,0.021264746672384434,15.321461148945428,0.750198328746178,41.39155140329855,0.01609047561508011,12.924308589076702,0.4788416241689708,40.81512859086157,0.03411340396794164,3.222288313921713,0.25310757806255885,4866.468175579763,6.1499206067655905,42.356751468659304,0.005156635964826587,1281.2730214120697,192.5883790524302,81.63584006877174,0.9693107610266508,4863.22748998764,41.70153756146089,0.008715432309787061,18.057888162620497,0.36238614737825237,5008.11430666754,0.06805579912452231,41.754237347838874,0.005391057723958873,277.90000329061616,2.648000445573998,21.25544142729745,0.2638516445612778,41.38981159348137,0.003946570210363781,8.063786461339268,0.07328417048252733,44.12319373380096,1.1941768753465326e-05,0,7.183904656525712,6.920156787996701,7.0717522088616995,-0.6794121866761427
158.32258,-0.63193772,273,51957,93,0.218534,2,0.000948785,4567,b'J103317.42-003755.0',1,6563.119052618557,0.610452318138455,41.37861139067524,0.018507048801162433,1716.672524128774,73.36052027107507,83.47744417815345,3.557312420560537,6564.339908000289,0.13539323306104323,41.515823803517414,0.008956519097856837,353.6662501509745,15.025252747069041,114.4936911267331,2.3612202966684976,41.056806169691534,0.01776335282819242,39.78908231943697,1.6274384023202695,40.90933156670624,0.0208889134347017,27.976943416093224,1.3456490507103396,40.89782436691689,0.020445400298049785,27.274533185029085,1.2840106883475928,40.69874776383084,0.020558526217385267,17.80611081527989,0.8429013408248568,4861.575870177819,0.610452318138455,41.515823803517414,0.008956519097856837,1716.672524128774,73.36052027107507,133.02961580181804,2.7434894080021768,4862.773101411279,41.01341970599507,0.02896047583813712,41.83543020295075,2.7897521909232132,5007.516421540117,0.030576239713809628,42.101948984482924,0.0059270420727840605,408.7655694803562,3.8047179569540264,505.4389684477484,6.897987880682094,-999.0,-999.0,-999.0,-999.0,43.109792956078905,1.4184215761833332e-05,0,6.900986289052024,6.830181750610747,6.867025349028055,-1.1588491645599188
157.39456,0.80530713,273,51957,374,0.0511845,2,0.000172357,4485,b'J102934.69+004819.1',1,6571.063964843649,3.1722247903799166,40.43282051928436,0.035690083604258786,5762.203771737008,446.1061133889598,14.943823895786263,1.228075312578335,6564.587402343942,0.30520640038763186,39.67232420115897,0.03218645501741871,250.8107629966446,15.182889315779903,2.593972830209815,0.19224465070217042,39.669517594033046,0.03277213243303677,2.577263455921094,0.1944819102813212,39.43092452443986,0.04930919128187101,1.5532058871832441,0.1763488380491504,39.29535455604945,0.06338419572078463,1.1326101339253491,0.16530162457137884,38.793353957945044,0.18509000550366606,0.31978573706045205,0.13628804214842355,4867.461425781306,0.6729939956302539,39.790915025406335,0.12419341696538466,5762.203771737008,1381.4103778268707,2.046396372412572,0.5851996101147946,4862.664062499957,38.94825573094738,0.1402733235042099,0.29398858153293855,0.0949557447653065,5008.555175781124,0.2208482809269511,39.58591387323599,0.041875287949805926,287.2160485695858,31.15270973440056,1.3420375913995193,0.1294011637298422,-999.0,-999.0,-999.0,-999.0,43.15231485612015,0.08776019399774394,0,7.979015446304809,7.4815062279202325,7.797916207370289,-2.8409770759007404
157.89649,0.47537546,273,51957,461,0.0286862,2,0.000103943,4523,b'J103135.16+002831.4',1,6568.9651146406595,0.9445476757618962,40.261194524567195,0.02185856824518152,2310.8309596120916,266.35946623034306,184.30800681291853,0.23384513898966977,6564.474609375284,0.09973713469625733,40.139655442385155,0.013416455868704314,285.27062925696674,5.359549049445377,139.1732560291229,0.10849390948379035,40.194578896773734,0.012748259549371994,158.711755384855,0.11698815821960538,39.85044317681077,0.014947851496070912,74.13465018708618,0.064833186282889,39.780557430385464,0.017044423731760176,63.32629110200658,0.06270996377656819,39.45782490814579,0.03387308755492505,27.168834493173293,0.0531686617884389,4865.905054421014,4.082379645771653,38.97208503128878,0.21082804255981147,2311.455339768953,620.309474895905,5.93081981322248,0.06959195597502096,4862.580566406015,39.50784921425042,0.02347195606082297,20.343691462909362,0.026603828101215702,5007.800781250058,0.03303899769909077,40.359961147673665,0.00562615244891428,325.72880288552176,4.269159433225014,151.5389940070415,0.047697362472250024,-999.0,-999.0,-999.0,-999.0,43.48805965597858,0.192298450557349,0,7.362755392383916,6.583131298085874,7.128462071321072,-2.231996665078161
159.81541,-0.65471634,274,51913,230,0.0768497,2,0.00106982,4692,b'J103915.70-003917.0',1,6567.048339843748,0.19102574101583775,41.41489095148371,0.005800247275589755,1896.154273900549,20.314356554463302,14.548545864282,0.19430402227336835,6565.814453125163,0.053089946160251436,41.160578679182926,0.005810963299847202,277.34480829356016,2.735794712133611,8.10041585803529,0.10838548929271449,40.93040720145891,0.0067203109930608785,4.767995506905565,0.0737803826667676,40.79188554588059,0.006787913052919896,3.618074486664909,0.05654959111589063,40.69419356176675,0.008339099674605444,2.878769526985629,0.05527665526376204,40.385045332260034,0.013430781751170063,1.26717878288314,0.03918816061022311,4864.486816406217,0.6729939956302539,39.68412846400544,0.16169794852930505,1896.154273900549,454.57732764931166,0.16236433459072264,0.0604520233993596,4863.573242187465,40.53817535009575,0.009928310379003708,1.1602124543697108,0.02652336143450031,5009.338867187605,0.014178071845801103,41.388248991706064,0.0027715828276953644,305.9928955455394,1.8489181801337509,8.63748406991326,0.055122742407855196,-999.0,-999.0,-999.0,-999.0,44.14602742370598,0.02155864496223819,0,7.540379119365204,6.936587067751156,7.335913262516774,-1.500391658759488
160.76948,-0.57542481,275,51910,298,0.107101,2,0.000148499,4776,b'J104304.68-003431.5',1,6567.417480468723,3.5563352517571882,40.92817961824555,0.03847503383139303,5782.388633047497,526.6680812133709,9.522224124225946,0.8435932660525438,6564.825195312724,0.9081604807230044,39.904543641208974,0.07473613020888026,339.39375629409057,46.66521150501649,0.9017837854476659,0.15518463658582005,39.89182137900832,0.08247781540424133,0.8757500282398804,0.1663156065348267,39.63919863096744,0.09884234288584287,0.5109997498388056,0.11629991928103048,39.28864848034489,0.16897392062453678,0.227139118391449,0.08837456954688153,38.91786482180192,0.2883813621957031,0.08675360048724888,0.05760635438349524,4864.760742187409,0.6729939956302539,40.089521413899234,0.1840971687108643,5782.388633047497,1386.2494251764408,0.8289220652936354,0.3513795679671227,4862.68017578125,-999.0,-999.0,-999.0,-999.0,5007.781738281207,0.7852609888220602,39.722239761700514,0.11144465197246467,396.14859266837783,115.02070233414997,0.3741176082684521,0.09600261796216593,-999.0,-999.0,-999.0,-999.0,43.843397303374516,0.054089184493788224,0,8.350402123439842,7.712836300926439,8.139409392359816,-2.71419446373308
160.54179,-0.30408553,275,51910,312,0.114749,2,0.000963831,4754,b'J104210.03-001814.7',1,6565.088175841765,1.5731417388778937,41.539097855004556,0.00737843142794939,1035.000103139214,4.024244291263171,100.81868360615904,1.7128556428216775,6564.904414399744,0.06315830724211288,41.2377761562341,0.006246599489897205,286.98402044689607,7.179380421275929,50.37549466708767,0.7245672159626291,40.56001035116468,0.011664173878876211,10.579216835902601,0.2841339955532464,40.216943132450055,0.014640093174293416,4.876381625633025,0.1643831209441169,40.08300994018898,0.01676285683171406,3.5776412882410145,0.1380894578259516,39.631064076490055,0.038600227044794926,1.2152623952090713,0.1080128967329153,4863.034481833592,1.4485621976145922,41.25087902950929,0.006246599489897205,1035.000103139214,4.046539272984772,42.58694751559062,0.6125419949052785,4863.054577627084,40.547122267438965,0.01533377053237838,8.42402700494572,0.2974297492339622,5006.71370245254,0.2592392839160311,40.6008669295626,0.020490135201739815,310.8000036802483,5.956605614584735,9.735249545050126,0.45931180450796794,41.05200793623514,0.0010317736348674912,25.746197167951568,0.0611762478292731,43.31449918020437,9.149748219833777e-06,0,6.563671501597315,6.444297833059458,6.508073306705369,-0.658540674745366
