,loss,train_acc,type1_test_acc,type2_test_acc
0,0.6649071145802736,0.6084681923190752,0.7870100736618042,0.5072828531265259
1,0.6408526748418808,0.6380440853536129,0.8163069486618042,0.5067034959793091
2,0.6282430129746596,0.65673828125,0.880280077457428,0.4624437093734741
3,0.6067408109083772,0.674060640235742,0.7664194703102112,0.6201668381690979
4,0.5170852815111479,0.7429315478851398,0.9577595591545105,0.5714215040206909
5,0.47521388561775285,0.7675083708018064,0.8784924745559692,0.7413598895072937
6,0.45264534124483663,0.7743908117214838,0.9273205995559692,0.6724212169647217
7,0.4417912419885397,0.7859002978851398,0.8463486433029175,0.7851396799087524
8,0.44132279449452955,0.7911318826178709,0.8673364520072937,0.7673133015632629
9,0.44544617428133887,0.7759951638678709,0.9064817428588867,0.7213320732116699
10,0.45304765303929645,0.7787388395518064,0.9322034120559692,0.6588982939720154
11,0.43194219811509055,0.7893415180345377,0.8588784337043762,0.7832693457603455
12,0.4353171506275733,0.7854352680345377,0.7328025698661804,0.875314474105835
13,0.42932602561389405,0.7953636534512043,0.9178032279014587,0.6665618419647217
14,0.4154785067463915,0.8021298367530107,0.8466631174087524,0.7769961357116699
15,0.41321874658266705,0.8025483638048172,0.7039194703102112,0.8874470591545105
16,0.4044130578016241,0.8065476194024086,0.7915618419647217,0.855783224105835
17,0.38626468849057954,0.8179640999684731,0.8356726765632629,0.7765989303588867
18,0.42816655182590085,0.7958984381208817,0.6821040511131287,0.8980237245559692
19,0.39836049762864906,0.8111979172875484,0.8028005957603455,0.8350271582603455
20,0.3936756607145071,0.8120349707702795,0.6694915294647217,0.9295219779014587
21,0.38494980552544195,0.8151041672875484,0.8408037424087524,0.7898569703102112
22,0.37665166705846786,0.8253348221381506,0.8549721837043762,0.8261553049087524
23,0.37747497313345474,0.8211728055030107,0.5120828747749329,0.9657375812530518
24,0.3734042869570355,0.8292178201178709,0.8232256174087524,0.8408037424087524
25,0.3714628281692664,0.8296828499684731,0.860666036605835,0.803131639957428
26,0.3722744580979149,0.8287992936869463,0.7966929078102112,0.8496755957603455
27,0.3580716410651803,0.8300548742214838,0.8859739303588867,0.7625132203102112
28,0.35244001386066276,0.8385649186869463,0.8604177832603455,0.8203787207603455
29,0.3455472318455577,0.8367745541036129,0.8491955995559692,0.8344643712043762
30,0.3359846151433885,0.8467726937184731,0.844064474105835,0.8373940587043762
31,0.3267421579609315,0.8520275304714838,0.9146252870559692,0.7339446544647217
32,0.3300818867670993,0.8476097472012043,0.8222490549087524,0.8588784337043762
33,0.3165547020422916,0.8564453131208817,0.7830210328102112,0.8741723895072937
34,0.3196167394829293,0.8562593013048172,0.8590439558029175,0.8166379928588867
35,0.317676345196863,0.8568638395518064,0.901764452457428,0.762116014957428
36,0.2973062787204981,0.8671642492214838,0.7693491578102112,0.877267599105835
37,0.295383651740849,0.8672805062184731,0.874420702457428,0.7892114520072937
38,0.302271224403133,0.8620256700863441,0.9051079154014587,0.7233679890632629
39,0.2848419058136642,0.8719773069024086,0.8654661178588867,0.8018240332603455
40,0.28804225008934736,0.8700939367214838,0.8008474707603455,0.864655077457428
41,0.2788497748163839,0.8725120909512043,0.848947286605835,0.8131289482116699
42,0.279528455187877,0.8755347846696774,0.8706799745559692,0.7886321544647217
43,0.2628848285724719,0.8796968013048172,0.8233084082603455,0.840158224105835
44,0.26866556665239233,0.8773716520518064,0.8508176803588867,0.8134599924087524
45,0.2631474601415296,0.8783714659512043,0.8268836140632629,0.8351098895072937
46,0.2512279017828405,0.889392671485742,0.8181772828102112,0.8403899669647217
47,0.2460281504318118,0.8906017492214838,0.852936327457428,0.7986460328102112
48,0.23629996622912586,0.8883231033881506,0.7983149886131287,0.851959764957428
49,0.21769960884315273,0.9016694575548172,0.7976694703102112,0.854806661605835
50,0.2445882100922366,0.8906017492214838,0.838287889957428,0.811837911605835
51,0.2415270615989963,0.8916713173190752,0.8798662424087524,0.7674788236618042
52,0.2158645810559392,0.9031110492845377,0.7724443674087524,0.8719710111618042
53,0.2102158327276508,0.9081566222012043,0.8940346837043762,0.7382646799087524
54,0.19881770798626044,0.9109933041036129,0.8942002058029175,0.7415916323661804
55,0.19012753991410136,0.9165736610690752,0.8553694486618042,0.7945742607116699
56,0.19047032855451107,0.9188755583018064,0.8727158308029175,0.7547007203102112
57,0.19224064665225646,0.9150158117214838,0.8832924962043762,0.7481793165206909
58,0.17480573748859266,0.9200846354166666,0.7505462169647217,0.8657143712043762
59,0.1825985686155036,0.9191313249369463,0.8124834299087524,0.8272146582603455
60,0.17896243440918624,0.9214099707702795,0.8061440587043762,0.8348616361618042
61,0.16656207293272018,0.9270368305345377,0.862619161605835,0.7927039265632629
62,0.16131388830641905,0.9283389138678709,0.8321802020072937,0.8170517683029175
63,0.15253481233958155,0.9318266374369463,0.861725389957428,0.7577959299087524
64,0.15386599228562167,0.9327334451178709,0.8409692645072937,0.8100337386131287
65,0.1317028859242176,0.9424525673190752,0.8692068457603455,0.7403005957603455
66,0.15632113306007037,0.9350120909512043,0.854889452457428,0.7897742390632629
67,0.15272310748696327,0.9364769347012043,0.8373940587043762,0.7939287424087524
68,0.14610412705224007,0.9376860124369463,0.8365664482116699,0.7869272828102112
69,0.1363732785296937,0.9436383930345377,0.7625132203102112,0.8692068457603455
70,0.13872693564432362,0.9414760048190752,0.8319319486618042,0.8078489303588867
71,0.11556657962501049,0.9474051346381506,0.8250960111618042,0.8165552020072937
72,0.12890981983703872,0.9455682666351398,0.8599377870559692,0.7461599707603455
73,0.12738429087524614,0.9441266742845377,0.8239539265632629,0.8173662424087524
74,0.11498026221912976,0.9498697916666666,0.8439817428588867,0.7971067428588867
75,0.0987923215337408,0.956775483985742,0.8430051803588867,0.809967577457428
76,0.07159694407406884,0.9694010416666666,0.832428514957428,0.8098020553588867
77,0.06344040504579122,0.9734700520833334,0.8377913236618042,0.8070213198661804
78,0.06003243203546541,0.9742838541666666,0.8252615332603455,0.8244504928588867
79,0.05698169434132675,0.9771670388678709,0.8432534337043762,0.800119161605835
